Orthogroup	Total	protein_mansoni	sequence_Homo sapiens
OG0000649	3	6183.Smp_140980.1	1p36.23-p33 PR domain containing 16 [Homo sapiens], 3q26.2 MDS1 and EVI1 complex locus [Homo sapiens]
OG0000653	3	6183.Smp_142220.1, 6183.Smp_144450.1	6q14-q15 synaptotagmin binding_ cytoplasmic RNA interacting protein [Homo sapiens]
OG0000654	3	6183.Smp_142270.1	15q21 transcription factor 12 [Homo sapiens], 18q21.1 transcription factor 4 [Homo sapiens]
OG0000655	3	6183.Smp_143050.1	15q21.3 SAFB-like_ transcription modulator [Homo sapiens], 19p13.3-p13.2 scaffold attachment factor B [Homo sapiens]
OG0000656	3	6183.Smp_143390.1	17q25 cytohesin 1 [Homo sapiens], 7p15-p14 anillin actin binding protein [Homo sapiens]
OG0000659	3	6183.Smp_143760.1, 6183.Smp_146090.1	2q11.1-q11.2 REV1_ DNA directed polymerase [Homo sapiens]
OG0000660	3	6183.Smp_144880.1	19q13.32 cell adhesion molecule 4 [Homo sapiens], 1q23.1 kin of IRRE like _Drosophila_ [Homo sapiens]
OG0000661	3	6183.Smp_145140.1	17q21.31 wingless-type MMTV integration site family member 3 [Homo sapiens], 3p21-p14 wingless-type MMTV integration site family member 5A [Homo sapiens]
OG0000662	3	6183.Smp_145230.1	12q24.21 T-box 3 [Homo sapiens], 17q23.2 T-box 2 [Homo sapiens]
OG0000663	3	6183.Smp_145420.1	22q13.33 plexin B2 [Homo sapiens], 3q21.3 plexin D1 [Homo sapiens]
OG0000664	3	6183.Smp_145540.1, 6183.Smp_152540.1	11p12-p11.2 cholinergic receptor_ muscarinic 4 [Homo sapiens]
OG0000665	3	6183.Smp_145650.1	17q25 forkhead box K2 [Homo sapiens], 7p22 forkhead box K1 [Homo sapiens]
OG0000666	3	6183.Smp_146330.1	11q13 phospholipase C beta 3 [Homo sapiens], 20p12 phospholipase C beta 1 [Homo sapiens]
OG0000667	3	6183.Smp_146360.1, 6183.Smp_177240.1	10q24 chromosome 10 open reading frame 2 [Homo sapiens]
OG0000668	3	6183.Smp_147560.1	12q24.22 mediator complex subunit 13-like [Homo sapiens], 17q22-q23 mediator complex subunit 13 [Homo sapiens]
OG0000671	3	6183.Smp_148120.1	21q22.1 SR-related CTD-associated factor 4 [Homo sapiens], 6q25.1-q25.3 SR-related CTD-associated factor 8 [Homo sapiens]
OG0000672	3	6183.Smp_149570.1	19q13.2 POU class 2 homeobox 2 [Homo sapiens], 1q24.2 POU class 2 homeobox 1 [Homo sapiens]
OG0000674	3	6183.Smp_150370.1	11q14.3 glutamate receptor_ metabotropic 5 [Homo sapiens], 3p21.2 glutamate receptor_ metabotropic 2 [Homo sapiens]
OG0000676	3	6183.Smp_150790.1	13q31.1 SLIT and NTRK like family member 1 [Homo sapiens], 20p11 fibronectin leucine rich transmembrane protein 3 [Homo sapiens]
OG0000679	3	6183.Smp_154440.1	12p13.3 WNK lysine deficient protein kinase 1 [Homo sapiens], Xp11.22 WNK lysine deficient protein kinase 3 [Homo sapiens]
OG0000680	3	6183.Smp_154770.1, 6183.Smp_203140.1	12q24.31 signal peptide peptidase like 3 [Homo sapiens]
OG0000681	3	6183.Smp_155050.1	3q13.33 follistatin like 1 [Homo sapiens], 5q11.2 follistatin [Homo sapiens]
OG0000682	3	6183.Smp_155120.1	5q13 RAS p21 protein activator _GTPase activating protein_ 1 [Homo sapiens], 6p21.3 synaptic Ras GTPase activating protein 1 [Homo sapiens]
OG0000684	3	6183.Smp_155370.1	16p13.12 MKL/myocardin-like 2 [Homo sapiens], 17p11.2 myocardin [Homo sapiens]
OG0000685	3	6183.Smp_156000.2	12q14 oxysterol binding protein like 8 [Homo sapiens], 1p32.3 oxysterol binding protein like 9 [Homo sapiens]
OG0000687	3	6183.Smp_157770.1	1p32.3 zyg-11 family member B_ cell cycle regulator [Homo sapiens], 9q33.3 zyg-11 related_ cell cycle regulator [Homo sapiens]
OG0000688	3	6183.Smp_158310.1	4q21.1-q21.21 ankyrin repeat domain 17 [Homo sapiens], 5q31.3 ankyrin repeat and KH domain containing 1 [Homo sapiens]
OG0000689	3	6183.Smp_158550.1	2q11.2 sema domain_ immunoglobulin domain _Ig__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 4C [Homo sapiens], 7p12.1 sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _semaphorin_ 3A [Homo sapiens]
OG0000691	3	6183.Smp_159100.1	17q21.33 mbt domain containing 1 [Homo sapiens], 6q23 l_3_mbt-like 3 _Drosophila_ [Homo sapiens]
OG0000692	3	6183.Smp_159120.1, 6183.Smp_159130.1	6q14.1 SUMO1/sentrin specific peptidase 6 [Homo sapiens]
OG0000693	3	6183.Smp_159790.1	1p36.22 kinesin family member 1B [Homo sapiens], 2q37.2 kinesin family member 1A [Homo sapiens]
OG0000697	3	6183.Smp_160700.1	4p16.3 Wolf-Hirschhorn syndrome candidate 1 [Homo sapiens], 5q35 nuclear receptor binding SET domain protein 1 [Homo sapiens]
OG0000698	3	6183.Smp_160940.1	10q24-q25.2 TATA-box binding protein associated factor 5 [Homo sapiens], 1q42.11-q42.3 TATA-box binding protein associated factor 5 like [Homo sapiens]
OG0000699	3	6183.Smp_161080.1	12q13.13 SPRY domain containing 3 [Homo sapiens], 6p23 RAN binding protein 9 [Homo sapiens]
OG0000700	3	6183.Smp_161460.1, 6183.Smp_163030.1	19q13.4 pre-mRNA processing factor 31 [Homo sapiens]
OG0000701	3	6183.Smp_161600.1	11p15.3 SRY-box 6 [Homo sapiens], 12p12.1 SRY-box 5 [Homo sapiens]
OG0000702	3	6183.Smp_163130.1	13q32.2 transmembrane 9 superfamily member 2 [Homo sapiens], 20q11.21 transmembrane 9 superfamily protein member 4 [Homo sapiens]
OG0000703	3	6183.Smp_163290.1	12q24 nuclear receptor corepressor 2 [Homo sapiens], 17p11.2 nuclear receptor corepressor 1 [Homo sapiens]
OG0000704	3	6183.Smp_164580.1	14q12 Rho GTPase activating protein 5 [Homo sapiens], 19q13.32 Rho GTPase activating protein 35 [Homo sapiens]
OG0000705	3	6183.Smp_165350.1	2q14.2-q14.3 cytoplasmic linker associated protein 1 [Homo sapiens], 3p24.3 cytoplasmic linker associated protein 2 [Homo sapiens]
OG0000706	3	6183.Smp_166050.1	1q24.3 proline-rich coiled-coil 2C [Homo sapiens], 6p21.3 proline-rich coiled-coil 2A [Homo sapiens]
OG0000707	3	6183.Smp_166070.1, 6183.Smp_176690.1	9q34.3 Rap guanine nucleotide exchange factor 1 [Homo sapiens]
OG0000708	3	6183.Smp_166560.1	10p11.22 zinc finger E-box binding homeobox 1 [Homo sapiens], 2q22.3 zinc finger E-box binding homeobox 2 [Homo sapiens]
OG0000709	3	6183.Smp_167240.1, 6183.Smp_167250.1	1q22-q23 nicastrin [Homo sapiens]
OG0000710	3	6183.Smp_168610.1	20q13.33 myelin transcription factor 1 [Homo sapiens], 2p25.3 myelin transcription factor 1-like [Homo sapiens]
OG0000711	3	6183.Smp_169130.1	19q13.33 Ras interacting protein 1 [Homo sapiens], 6q27 myeloid/lymphoid or mixed-lineage leukemia; translocated to_ 4 [Homo sapiens]
OG0000712	3	6183.Smp_171160.1	15q22.33 SIN3 transcription regulator family member A [Homo sapiens], 19p13.12 SIN3 transcription regulator family member B [Homo sapiens]
OG0000714	3	6183.Smp_173380.1	11q13.1 leucine rich repeat and fibronectin type III domain containing 4 [Homo sapiens], 6p21.1-p12.2 protein tyrosine kinase 7 _inactive_ [Homo sapiens]
OG0000715	3	6183.Smp_176990.1	3p25 Raf-1 proto-oncogene_ serine/threonine kinase [Homo sapiens], 7q34 B-Raf proto-oncogene_ serine/threonine kinase [Homo sapiens]
OG0000716	3	6183.Smp_178850.1	14q32.1-q32.2 poly_A_ polymerase alpha [Homo sapiens], 2p16.1 poly_A_ polymerase gamma [Homo sapiens]
OG0000717	3	6183.Smp_179270.3	10q22 heterogeneous nuclear ribonucleoprotein H3 _2H9_ [Homo sapiens], 5q35.3 heterogeneous nuclear ribonucleoprotein H1 _H_ [Homo sapiens]
OG0000718	3	6183.Smp_180400.1	15q22.1-q22.31 casein kinase 1_ gamma 1 [Homo sapiens], 15q22.1-q22.31 casein kinase 1_ gamma 1 [Homo sapiens]
OG0000719	3	6183.Smp_180760.1	11q13 neurexin 2 [Homo sapiens], 14q31 neurexin 3 [Homo sapiens]
OG0000720	3	6183.Smp_180910.1	1p35.2 pumilio RNA binding family member 1 [Homo sapiens], 2p24.1 pumilio RNA binding family member 2 [Homo sapiens]
OG0000722	3	6183.Smp_194950.1	19p13.2 ELAV like RNA binding protein 1 [Homo sapiens], 2q24.2 RNA binding motif_ single stranded interacting protein 1 [Homo sapiens]
OG0000723	3	6183.Smp_196030.1	19p13.11 phosphoinositide-3-kinase regulatory subunit 2 [Homo sapiens], 5q13.1 phosphoinositide-3-kinase regulatory subunit 1 [Homo sapiens]
OG0000724	3	6183.Smp_199640.1	12q13-q14 SWI/SNF related_ matrix associated_ actin dependent regulator of chromatin_ subfamily d_ member 1 [Homo sapiens], 17q23.3 SWI/SNF related_ matrix associated_ actin dependent regulator of chromatin_ subfamily d_ member 2 [Homo sapiens]
OG0000739	2	6183.Smp_000030.1	3q27.3 proteasome 26S subunit_ non-ATPase 2 [Homo sapiens]
OG0000741	2	6183.Smp_000070.1	6p21.3 1-acylglycerol-3-phosphate O-acyltransferase 1 [Homo sapiens]
OG0000742	2	6183.Smp_000190.1	8q21.11 retinol dehydrogenase 10 _all-trans_ [Homo sapiens]
OG0000744	2	6183.Smp_000260.1	10q21-q22 prosaposin [Homo sapiens]
OG0000751	2	6183.Smp_000650.1	16q12.1 siah E3 ubiquitin protein ligase 1 [Homo sapiens]
OG0000755	2	6183.Smp_000740.2	1q21.2 proteasome 26S subunit_ non-ATPase 4 [Homo sapiens]
OG0000757	2	6183.Smp_001040.1	12q13.13 kinesin family member 5A [Homo sapiens]
OG0000758	2	6183.Smp_001100.1	15q21.1 fibrillin 1 [Homo sapiens]
OG0000759	2	6183.Smp_001170.1	10q26.11 eukaryotic translation initiation factor 3 subunit A [Homo sapiens]
OG0000760	2	6183.Smp_001180.1	3p21.2 RAD54-like 2 _S. cerevisiae_ [Homo sapiens]
OG0000762	2	6183.Smp_001390.1	2q32 NCK-associated protein 1 [Homo sapiens]
OG0000763	2	6183.Smp_001530.1	1q42.2 exocyst complex component 8 [Homo sapiens]
OG0000764	2	6183.Smp_002180.1	5q13.3 basic transcription factor 3 [Homo sapiens]
OG0000765	2	6183.Smp_002190.1	16q12.2 nudix hydrolase 21 [Homo sapiens]
OG0000766	2	6183.Smp_002280.1	5q12-q13 kinesin heavy chain member 2A [Homo sapiens]
OG0000770	2	6183.Smp_002820.3	19q13.33 zinc finger CCCH-type containing 4 [Homo sapiens]
OG0000772	2	6183.Smp_002880.1	18q21 ATP synthase_ H+ transporting_ mitochondrial F1 complex_ alpha subunit 1_ cardiac muscle [Homo sapiens]
OG0000775	2	6183.Smp_003630.1	1p34.3 splicing factor 3a subunit 3 [Homo sapiens]
OG0000776	2	6183.Smp_003660.1	6p21.33 DEAD _Asp-Glu-Ala-Asp_ box polypeptide 39B [Homo sapiens]
OG0000783	2	6183.Smp_004600.1	2p15 chaperonin containing TCP1_ subunit 4 _delta_ [Homo sapiens]
OG0000785	2	6183.Smp_004780.1	12p13.33 FK506 binding protein 4 [Homo sapiens]
OG0000786	2	6183.Smp_004910.1	9q33.2 RAB14_ member RAS oncogene family [Homo sapiens]
OG0000787	2	6183.Smp_004990.1	7p11.2 chaperonin containing TCP1_ subunit 6A _zeta 1_ [Homo sapiens]
OG0000788	2	6183.Smp_005180.1	16p13.1 G1 to S phase transition 1 [Homo sapiens]
OG0000790	2	6183.Smp_005290.1	8q24 cytochrome c-1 [Homo sapiens]
OG0000792	2	6183.Smp_006320.1	1p32 KH domain containing_ RNA binding_ signal transduction associated 1 [Homo sapiens]
OG0000793	2	6183.Smp_006340.1	15q14 ER membrane protein complex subunit 4 [Homo sapiens]
OG0000796	2	6183.Smp_006850.1	3q28 polymerase _RNA_ II _DNA directed_ polypeptide H [Homo sapiens]
OG0000799	2	6183.Smp_007180.1	19p13.1 calcium homeostasis endoplasmic reticulum protein [Homo sapiens]
OG0000801	2	6183.Smp_007380.1	Xq24 chromosome X open reading frame 56 [Homo sapiens]
OG0000802	2	6183.Smp_007510.1	17q12 cyclin-dependent kinase 12 [Homo sapiens]
OG0000804	2	6183.Smp_007700.1	5p13.1 RPTOR independent companion of MTOR_ complex 2 [Homo sapiens]
OG0000806	2	6183.Smp_007900.1	17q12 ribosomal protein L23 [Homo sapiens]
OG0000811	2	6183.Smp_008500.2	2q14.3 IWS1 homolog _S. cerevisiae_ [Homo sapiens]
OG0000812	2	6183.Smp_008545.1	2q33.1 heat shock protein family D _Hsp60_ member 1 [Homo sapiens]
OG0000813	2	6183.Smp_008830.1	4q31.1-q31.2 SWI/SNF related_ matrix associated_ actin dependent regulator of chromatin_ subfamily a_ member 5 [Homo sapiens]
OG0000816	2	6183.Smp_009030.1	11p15.5 ribonucleotide reductase M1 [Homo sapiens]
OG0000818	2	6183.Smp_009690.1	12q24.2 ribosomal protein_ large_ P0 [Homo sapiens]
OG0000822	2	6183.Smp_010690.1	2q36.1 actin related protein 2/3 complex subunit 2 [Homo sapiens]
OG0000824	2	6183.Smp_010930.1	3q12.2 translocase of outer mitochondrial membrane 70 homolog A _S. cerevisiae_ [Homo sapiens]
OG0000826	2	6183.Smp_011120.1	12q22 methionyl aminopeptidase 2 [Homo sapiens]
OG0000827	2	6183.Smp_011660.1	10q22 calcium/calmodulin-dependent protein kinase II gamma [Homo sapiens]
OG0000828	2	6183.Smp_011960.1	9q22.31 inositol-pentakisphosphate 2-kinase [Homo sapiens]
OG0000829	2	6183.Smp_011980.1	11p15.1-p14 general transcription factor IIH subunit 1 [Homo sapiens]
OG0000830	2	6183.Smp_012010.1	13q14.1 forkhead box O1 [Homo sapiens]
OG0000831	2	6183.Smp_012340.1	Xq26.1 UTP14A small subunit processome component [Homo sapiens]
OG0000833	2	6183.Smp_012470.1	7q22.1-q22.3 proteasome 26S subunit_ ATPase 2 [Homo sapiens]
OG0000834	2	6183.Smp_012570.1	1q22-q23 VANGL planar cell polarity protein 2 [Homo sapiens]
OG0000837	2	6183.Smp_012720.1	16p11.2 coronin_ actin binding protein_ 1A [Homo sapiens]
OG0000839	2	6183.Smp_012950.1	10q23.33 cytoplasmic polyadenylation element binding protein 3 [Homo sapiens]
OG0000842	2	6183.Smp_013200.2	Xq28 ribosomal protein L10 [Homo sapiens]
OG0000843	2	6183.Smp_013360.1	19q13.3 small nuclear ribonucleoprotein_ U1 70kDa subunit [Homo sapiens]
OG0000845	2	6183.Smp_013520.1	17p13.2 nuclear cap binding subunit 3 [Homo sapiens]
OG0000847	2	6183.Smp_013790.1	17q21 DEAD _Asp-Glu-Ala-Asp_ box helicase 5 [Homo sapiens]
OG0000848	2	6183.Smp_013840.2	11q13.1 MAP/microtubule affinity-regulating kinase 2 [Homo sapiens]
OG0000854	2	6183.Smp_015020.1	1p13 ATPase_ Na+/K+ transporting_ alpha 1 polypeptide [Homo sapiens]
OG0000856	2	6183.Smp_015090.1	3q23 coatomer protein complex subunit beta 2 _beta prime_ [Homo sapiens]
OG0000857	2	6183.Smp_015220.1	20q13.33 TATA-box binding protein associated factor 4 [Homo sapiens]
OG0000866	2	6183.Smp_017010.4	3q27.1 eukaryotic translation initiation factor 4 gamma_ 1 [Homo sapiens]
OG0000867	2	6183.Smp_017070.1	14q22.1 proteasome 26S subunit_ ATPase 6 [Homo sapiens]
OG0000868	2	6183.Smp_017230.1	7q22.3 nicotinamide phosphoribosyltransferase [Homo sapiens]
OG0000869	2	6183.Smp_017360.1	6q25-q27 t-complex 1 [Homo sapiens]
OG0000871	2	6183.Smp_017660.1	17q12-q21 proteasome activator subunit 3 [Homo sapiens]
OG0000873	2	6183.Smp_017900.1	11q11-q13 ribosomal protein S6 kinase_ 90kDa_ polypeptide 4 [Homo sapiens]
OG0000875	2	6183.Smp_018010.1	22q11.23 sperm antigen with calponin homology and coiled-coil domains 1-like [Homo sapiens]
OG0000876	2	6183.Smp_018150.1	1p13 mannosidase_ alpha_ class 1A_ member 2 [Homo sapiens]
OG0000878	2	6183.Smp_018220.2	19p13.11 mediator complex subunit 26 [Homo sapiens]
OG0000879	2	6183.Smp_018240.3	9p13.3 valosin containing protein [Homo sapiens]
OG0000881	2	6183.Smp_018590.1	3q21 GATA binding protein 2 [Homo sapiens]
OG0000882	2	6183.Smp_018760.1	11q12.3 glucosidase_ alpha; neutral AB [Homo sapiens]
OG0000884	2	6183.Smp_018890.1	Xq13.3 phosphoglycerate kinase 1 [Homo sapiens]
OG0000885	2	6183.Smp_018990.1	4p13 ribosomal protein L9 [Homo sapiens]
OG0000887	2	6183.Smp_019130.1	11q12.1 cleavage and polyadenylation factor I subunit 1 [Homo sapiens]
OG0000890	2	6183.Smp_019380.1	3q27.3 eukaryotic translation initiation factor 2B subunit epsilon [Homo sapiens]
OG0000892	2	6183.Smp_019690.1	19q13.43 U2 small nuclear RNA auxiliary factor 2 [Homo sapiens]
OG0000895	2	6183.Smp_019880.1	17p13.2 derlin 2 [Homo sapiens]
OG0000896	2	6183.Smp_019980.1	17q23.1 vacuole membrane protein 1 [Homo sapiens]
OG0000897	2	6183.Smp_020050.1	15q21.2 COP9 signalosome subunit 2 [Homo sapiens]
OG0000898	2	6183.Smp_020080.1	16q13 guanine nucleotide binding protein _G protein__ alpha activating activity polypeptide O [Homo sapiens]
OG0000903	2	6183.Smp_021070.1	Xp11.22 guanine nucleotide binding protein-like 3 _nucleolar_-like [Homo sapiens]
OG0000904	2	6183.Smp_021140.1	2p25 ribosomal protein S7 [Homo sapiens]
OG0000905	2	6183.Smp_021170.1	1p36.21 vacuolar protein sorting 13 homolog D _S. cerevisiae_ [Homo sapiens]
OG0000908	2	6183.Smp_021540.1	11q13 splicing factor 1 [Homo sapiens]
OG0000910	2	6183.Smp_021750.2	7q22.1 methylphosphate capping enzyme [Homo sapiens]
OG0000911	2	6183.Smp_021870.1	8p22-p21.3 CCR4-NOT transcription complex subunit 7 [Homo sapiens]
OG0000913	2	6183.Smp_022090.1	Xp22.2 phosphoribosyl pyrophosphate synthetase 2 [Homo sapiens]
OG0000915	2	6183.Smp_022310.1	4q22.3 SWI/SNF-related_ matrix-associated actin-dependent regulator of chromatin_ subfamily a_ containing DEAD/H box 1 [Homo sapiens]
OG0000916	2	6183.Smp_022320.2	Xp22 holocytochrome c synthase [Homo sapiens]
OG0000917	2	6183.Smp_022560.2	13q12.2 ribosomal protein L21 [Homo sapiens]
OG0000918	2	6183.Smp_022570.1	17q21 ataxin 7-like 3 [Homo sapiens]
OG0000919	2	6183.Smp_022640.1	16q24.3 ribosomal protein L13 [Homo sapiens]
OG0000921	2	6183.Smp_022960.1	15q26.3 aldehyde dehydrogenase 1 family member A3 [Homo sapiens]
OG0000922	2	6183.Smp_022990.1	5q31 voltage-dependent anion channel 1 [Homo sapiens]
OG0000924	2	6183.Smp_023150.1	9q33.3 protein phosphatase 6_ catalytic subunit [Homo sapiens]
OG0000926	2	6183.Smp_023530.1	12q21.1 nucleosome assembly protein 1-like 1 [Homo sapiens]
OG0000927	2	6183.Smp_023700.2	17q21.31 LSM12 homolog [Homo sapiens]
OG0000928	2	6183.Smp_023990.1	14q YY1 transcription factor [Homo sapiens]
OG0000929	2	6183.Smp_024150.1	2q21.3-q22.1 UBX domain protein 4 [Homo sapiens]
OG0000931	2	6183.Smp_024900.1	16q12.2 retinoblastoma-like 2 [Homo sapiens]
OG0000932	2	6183.Smp_024970.1	12q15 CCR4-NOT transcription complex subunit 2 [Homo sapiens]
OG0000933	2	6183.Smp_025010.1	6p21.33 casein kinase 2_ beta polypeptide [Homo sapiens]
OG0000934	2	6183.Smp_025130.1	5q33.1 RNA binding motif protein 22 [Homo sapiens]
OG0000935	2	6183.Smp_025510.1	16q23.1 vacuolar protein sorting 4 homolog A _S. cerevisiae_ [Homo sapiens]
OG0000938	2	6183.Smp_026040.1	18q12.1 trafficking protein particle complex 8 [Homo sapiens]
OG0000939	2	6183.Smp_026250.3	12q24.13 N_alpha_-acetyltransferase 25_ NatB auxiliary subunit [Homo sapiens]
OG0000942	2	6183.Smp_026510.1	15q22.1-q22.33 mitogen-activated protein kinase kinase 1 [Homo sapiens]
OG0000943	2	6183.Smp_026540.1	3q28 adaptor related protein complex 2_ mu 1 subunit [Homo sapiens]
OG0000944	2	6183.Smp_027080.1	5q31.3 Yip1 domain family member 5 [Homo sapiens]
OG0000947	2	6183.Smp_027890.1	11p15 nucleoporin 98kDa [Homo sapiens]
OG0000949	2	6183.Smp_028120.1	3q29 optic atrophy 1 _autosomal dominant_ [Homo sapiens]
OG0000951	2	6183.Smp_028430.1	22q13.2 ring-box 1_ E3 ubiquitin protein ligase [Homo sapiens]
OG0000952	2	6183.Smp_028440.1	20q11.22 adenosylhomocysteinase [Homo sapiens]
OG0000955	2	6183.Smp_029240.2	19q13 protein arginine methyltransferase 1 [Homo sapiens]
OG0000956	2	6183.Smp_029390.1	8p21.3 ATPase_ H+ transporting_ lysosomal 56/58kDa_ V1 subunit B2 [Homo sapiens]
OG0000957	2	6183.Smp_029410.1	11p13 eukaryotic translation initiation factor 3 subunit M [Homo sapiens]
OG0000959	2	6183.Smp_029700.1	Xq24 NFKB activating protein [Homo sapiens]
OG0000960	2	6183.Smp_029940.2	1q22 ubiquitin conjugating enzyme E2Q family member 1 [Homo sapiens]
OG0000964	2	6183.Smp_030300.4	12q24.2-q24.3 heat shock protein 90kDa beta family member 1 [Homo sapiens]
OG0000965	2	6183.Smp_030320.1	4q31.23 F-box and WD repeat domain containing 7 [Homo sapiens]
OG0000966	2	6183.Smp_030370.1	19p13.3-p13.2 calreticulin [Homo sapiens]
OG0000967	2	6183.Smp_030400.1	17q24.2 protein kinase_ cAMP-dependent_ regulatory subunit type I alpha [Homo sapiens]
OG0000969	2	6183.Smp_030780.1	1p36.1 ubiquitination factor E4B [Homo sapiens]
OG0000971	2	6183.Smp_031000.2	2q36.2 cullin 3 [Homo sapiens]
OG0000973	2	6183.Smp_031360.1	9q34.1 nuclear cap binding protein subunit 1 [Homo sapiens]
OG0000975	2	6183.Smp_031860.1	11q23.3 archain 1 [Homo sapiens]
OG0000977	2	6183.Smp_031920.5	17q21.33 LUC7-like 3 pre-mRNA splicing factor [Homo sapiens]
OG0000979	2	6183.Smp_032260.1	3p24.1 ribosomal protein L15 [Homo sapiens]
OG0000980	2	6183.Smp_032310.1	12q24 actin related protein 2/3 complex subunit 3 [Homo sapiens]
OG0000983	2	6183.Smp_032510.1	13q32.2 importin 5 [Homo sapiens]
OG0000984	2	6183.Smp_032580.2	1p13 proteasome subunit alpha 5 [Homo sapiens]
OG0000986	2	6183.Smp_032760.1	19q13.3 ribosomal protein S11 [Homo sapiens]
OG0000988	2	6183.Smp_032800.2	9p12 smu-1 suppressor of mec-8 and unc-52 homolog _C. elegans_ [Homo sapiens]
OG0000989	2	6183.Smp_033050.1	20q12-q13.1 topoisomerase _DNA_ I [Homo sapiens]
OG0000993	2	6183.Smp_033710.1	Xp11.3-p11.23 DEAD _Asp-Glu-Ala-Asp_ box helicase 3_ X-linked [Homo sapiens]
OG0000995	2	6183.Smp_033950.2	18q21.1 SMAD family member 4 [Homo sapiens]
OG0000996	2	6183.Smp_034000.1	Xp11.2 lysine _K_-specific demethylase 6A [Homo sapiens]
OG0000997	2	6183.Smp_034190.1	17q25.3 eukaryotic translation initiation factor 4A3 [Homo sapiens]
OG0000998	2	6183.Smp_034550.1	19q13 actinin_ alpha 4 [Homo sapiens]
OG0000999	2	6183.Smp_034670.1	17q21.31 tubulin gamma 1 [Homo sapiens]
OG0001000	2	6183.Smp_034870.1	17q12 adaptor related protein complex 2_ beta 1 subunit [Homo sapiens]
OG0001001	2	6183.Smp_034980.1	6p21.3 protein phosphatase 1 regulatory subunit 10 [Homo sapiens]
OG0001002	2	6183.Smp_035030.1	1q25 DEAH _Asp-Glu-Ala-His_ box helicase 9 [Homo sapiens]
OG0001003	2	6183.Smp_035270.2	2p23 malate dehydrogenase 1 [Homo sapiens]
OG0001005	2	6183.Smp_035430.2	11q12 protein phosphatase 2 regulatory subunit B'_ beta [Homo sapiens]
OG0001007	2	6183.Smp_036270.2	20q12-q13.1 serine/arginine-rich splicing factor 6 [Homo sapiens]
OG0001011	2	6183.Smp_038080.1	17q21.32 karyopherin _importin_ beta 1 [Homo sapiens]
OG0001012	2	6183.Smp_038100.1	12p13.3 ATP synthase_ H+ transporting_ mitochondrial F1 complex_ beta polypeptide [Homo sapiens]
OG0001014	2	6183.Smp_038640.1	19p13.3 cactin_ spliceosome C complex subunit [Homo sapiens]
OG0001018	2	6183.Smp_039180.1	17q25.3 NPL4 homolog_ ubiquitin recognition factor [Homo sapiens]
OG0001020	2	6183.Smp_039490.1	14q11.2 apoptotic chromatin condensation inducer 1 [Homo sapiens]
OG0001021	2	6183.Smp_039640.2	16p12.2 retinoblastoma binding protein 6 [Homo sapiens]
OG0001022	2	6183.Smp_039670.1	3q25.31 cyclin L1 [Homo sapiens]
OG0001024	2	6183.Smp_039810.1	3q25 muscleblind like splicing regulator 1 [Homo sapiens]
OG0001030	2	6183.Smp_040460.1	1p35 YTH N_6_-methyladenosine RNA binding protein 2 [Homo sapiens]
OG0001031	2	6183.Smp_040500.1	19p12 FK506 binding protein 8 [Homo sapiens]
OG0001032	2	6183.Smp_040540.1	7q36.1 ATP binding cassette subfamily F member 2 [Homo sapiens]
OG0001033	2	6183.Smp_040970.1	17q21 ATPase_ H+ transporting_ lysosomal V0 subunit a1 [Homo sapiens]
OG0001034	2	6183.Smp_041060.1	22q11.2 septin 5 [Homo sapiens]
OG0001035	2	6183.Smp_041480.2	19p13.2 heterogeneous nuclear ribonucleoprotein M [Homo sapiens]
OG0001036	2	6183.Smp_041740.1	1q23 chaperonin containing TCP1_ subunit 3 _gamma_ [Homo sapiens]
OG0001038	2	6183.Smp_041770.1	7q22-q31.1 SRSF protein kinase 2 [Homo sapiens]
OG0001039	2	6183.Smp_041820.1	12q23.1 cyclin-dependent kinase 17 [Homo sapiens]
OG0001040	2	6183.Smp_042270.2	11p11.2 proteasome 26S subunit_ ATPase 3 [Homo sapiens]
OG0001043	2	6183.Smp_042550.1	5q23.2 sorting nexin 2 [Homo sapiens]
OG0001044	2	6183.Smp_042560.1	19q13 translocase of outer mitochondrial membrane 40 homolog _yeast_ [Homo sapiens]
OG0001046	2	6183.Smp_043350.1	1q23.2 UDP-N-acetylglucosamine pyrophosphorylase 1 [Homo sapiens]
OG0001048	2	6183.Smp_043500.1	11q22.3 zinc finger CCCH-type containing 12C [Homo sapiens]
OG0001051	2	6183.Smp_044280.1	19q13.1 fibrillarin [Homo sapiens]
OG0001053	2	6183.Smp_044920.1	9q34 dynamin 1 [Homo sapiens]
OG0001054	2	6183.Smp_044970.1	7p13-p11.2 oxoglutarate _alpha-ketoglutarate_ dehydrogenase _lipoamide_ [Homo sapiens]
OG0001057	2	6183.Smp_046060.1	22q13.1 myosin_ heavy chain 9_ non-muscle [Homo sapiens]
OG0001058	2	6183.Smp_046090.2	21q21.3 chaperonin containing TCP1_ subunit 8 _theta_ [Homo sapiens]
OG0001059	2	6183.Smp_046140.1	2p23 nuclear receptor binding protein 1 [Homo sapiens]
OG0001060	2	6183.Smp_046430.1	7p22.2 ubiquitin specific peptidase 42 [Homo sapiens]
OG0001061	2	6183.Smp_046500.2	20p13-p12.3 proliferating cell nuclear antigen [Homo sapiens]
OG0001063	2	6183.Smp_046750.1	9q34 WD repeat domain 5 [Homo sapiens]
