Orthogroup	Total	protein_mansoni	sequence_Saccharomyces cerevisiae
OG0000683	2	6183.Smp_013200.2	NC_001144 Protein component of the large _60S_ ribosomal subunit_ responsible for joining the 40S and 60S subunits; regulates translation initiation; has similarity to rat L10 ribosomal protein and to members of the QM gene family [Saccharomyces cerevisiae]
OG0000684	2	6183.Smp_013360.1	NC_001141 Component of U1 snRNP required for mRNA splicing via spliceosome; may interact with poly_A_ polymerase to regulate polyadenylation; homolog of human U1 70K protein [Saccharomyces cerevisiae]
OG0000686	2	6183.Smp_013470.2	NC_001139 Protein component of the small _40S_ subunit_ essential for control of translational accuracy; phosphorylation by C-terminal domain kinase I _CTDK-I_ enhances translational accuracy; similar to E. coli S5 and rat S2 ribosomal proteins [Saccharomyces cerevisiae]
OG0000691	2	6183.Smp_014400.3	NC_001138 Component of NuA4_ which is an essential histone H4/H2A acetyltransferase complex; homologous to Drosophila Enhancer of Polycomb [Saccharomyces cerevisiae]
OG0000694	2	6183.Smp_014620.1	NC_001144 Beta subunit of the translation initiation factor eIF2B_ the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated by phosphorylated eIF2; first identified as a negative regulator of GCN4 expression [Saccharomyces cerevisiae]
OG0000695	2	6183.Smp_014660.2	NC_001138 Secretory vesicle-associated Rab GTPase essential for exocytosis; associates with the exocyst component Sec15p and may regulate polarized delivery of transport vesicles to the exocyst at the plasma membrane [Saccharomyces cerevisiae]
OG0000698	2	6183.Smp_015090.1	NC_001139 Essential beta'-coat protein of the COPI coatomer_ involved in ER-to-Golgi and Golgi-to-ER transport; contains WD40 domains that mediate cargo selective interactions; 45% sequence identity to mammalian beta'-COP [Saccharomyces cerevisiae]
OG0000700	2	6183.Smp_015850.3	NC_001136 Essential protein associated with the U1 snRNP complex; splicing factor involved in recognition of 5' splice site; contains two zinc finger motifs; N-terminal zinc finger binds pre-mRNA [Saccharomyces cerevisiae]
OG0000701	2	6183.Smp_015860.1	NC_001143 Mitochondrial matrix acyl carrier protein_ involved in biosynthesis of octanoate_ which is a precursor to lipoic acid; activated by phosphopantetheinylation catalyzed by Ppt2p [Saccharomyces cerevisiae]
OG0000702	2	6183.Smp_016130.1	NC_001140 Essential protein of the mitochondrial intermembrane space_ forms a complex with Tim9p _TIM10 complex_ that mediates insertion of hydrophobic proteins at the inner membrane_ has homology to Mrs5p_ which is also involved in this process [Saccharomyces cerevisiae]
OG0000707	2	6183.Smp_016880.1	NC_001136 Guanylate kinase_ converts GMP to GDP; required for growth and mannose outer chain elongation of cell wall N-linked glycoproteins [Saccharomyces cerevisiae]
OG0000708	2	6183.Smp_017070.1	NC_001147 One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; required for spindle pole body duplication; localized mainly to the nucleus throughout the cell cycle [Saccharomyces cerevisiae]
OG0000709	2	6183.Smp_017290.3	NC_001143 Signal recognition particle _SRP_ receptor beta subunit; involved in SRP-dependent protein targeting; anchors Srp101p to the ER membrane [Saccharomyces cerevisiae]
OG0000710	2	6183.Smp_017360.1	NC_001136 Alpha subunit of chaperonin-containing T-complex_ which mediates protein folding in the cytosol; involved in actin cytoskeleton maintenance; overexpression in neurons suppresses formation of pathogenic conformations of huntingtin protein [Saccharomyces cerevisiae]
OG0000712	2	6183.Smp_017640.1	NC_001148 Nucleolar protein_ forms a complex with Nop14p that mediates maturation and nuclear export of 40S ribosomal subunits [Saccharomyces cerevisiae]
OG0000714	2	6183.Smp_017890.1	NC_001138 Conserved zinc-finger domain protein involved in pre-mRNA splicing_ required for assembly of U4 snRNA into the U4/U6 particle [Saccharomyces cerevisiae]
OG0000719	2	6183.Smp_018280.1	NC_001144 Protein of unknown function_ required for cell growth and possibly involved in rRNA processing; mRNA is cell cycle regulated [Saccharomyces cerevisiae]
OG0000720	2	6183.Smp_018610.1	NC_001147 Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation [Saccharomyces cerevisiae]
OG0000722	2	6183.Smp_018890.1	NC_001135 3-phosphoglycerate kinase_ catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1_3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis [Saccharomyces cerevisiae]
OG0000723	2	6183.Smp_019130.1	NC_001147 Subunit of cleavage factor I _CFI__ involved in both the endonucleolyitc cleavage and polyadenylation steps of mRNA 3'-end maturation [Saccharomyces cerevisiae]
OG0000724	2	6183.Smp_019190.1	NC_001136 RNA splicing factor_ required for ATP-independent portion of 2nd catalytic step of spliceosomal RNA splicing; interacts with Prp18p; contains zinc knuckle domain [Saccharomyces cerevisiae]
OG0000727	2	6183.Smp_019380.1	NC_001136 Catalytic epsilon subunit of the translation initiation factor eIF2B_ the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated by phosphorylated eIF2; first identified as a negative regulator of GCN4 expression [Saccharomyces cerevisiae]
OG0000728	2	6183.Smp_019440.1	NC_001146 Translation initiation factor eIF1; component of a complex involved in recognition of the initiator codon; modulates translation accuracy at the initiation phase [Saccharomyces cerevisiae]
OG0000732	2	6183.Smp_019840.2	NC_001136 DNA ligase found in the nucleus and mitochondria_ an essential enzyme that joins Okazaki fragments during DNA replication; also acts in nucleotide excision repair_ base excision repair_ and recombination [Saccharomyces cerevisiae]
OG0000734	2	6183.Smp_020210.1	NC_001140 Transmembrane protein subunit of the glycosylphosphatidylinositol transamidase complex that adds GPIs to newly synthesized proteins; human PIG-Tp homolog [Saccharomyces cerevisiae]
OG0000735	2	6183.Smp_020220.2	NC_001148 Zeta subunit of the coatomer complex _COPI__ which coats Golgi-derived transport vesicles; involved in retrograde transport between Golgi and ER [Saccharomyces cerevisiae]
OG0000739	2	6183.Smp_020770.1	NC_001147 Epsilon subunit of the oligosaccharyltransferase complex of the ER lumen_ which catalyzes asparagine-linked glycosylation of newly synthesized proteins [Saccharomyces cerevisiae]
OG0000742	2	6183.Smp_021540.1	NC_001144 Component of the commitment complex_ which defines the first step in the splicing pathway; essential protein that interacts with Mud2p and Prp40p_ forming a bridge between the intron ends; also involved in nuclear retention of pre-mRNA [Saccharomyces cerevisiae]
OG0000744	2	6183.Smp_021760.1	NC_001148 Nucleolar protein required for 60S ribosome subunit biogenesis_ constituent of 66S pre-ribosomal particles; physically interacts with Nop8p and the exosome subunit Rrp43p [Saccharomyces cerevisiae]
OG0000745	2	6183.Smp_021980.1	NC_001144 ER membrane localized phosphoryltransferase that adds phosphoethanolamine onto the third mannose residue of the glycosylphosphatidylinositol _GPI_ anchor precursor; similar to human PIG-O protein [Saccharomyces cerevisiae]
OG0000747	2	6183.Smp_022140.1	NC_001147 Essential serine kinase involved in cell cycle progression and processing of the 20S pre-rRNA into mature 18S rRNA [Saccharomyces cerevisiae]
OG0000749	2	6183.Smp_022400.1	NC_001134 Glycolytic enzyme phosphoglucose isomerase_ catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate; required for cell cycle progression and completion of the gluconeogenic events of sporulation [Saccharomyces cerevisiae]
OG0000750	2	6183.Smp_022660.1	NC_001145 Essential nuclear protein involved in early steps of ribosome biogenesis; physically interacts with the ribosomal protein Rpl3p [Saccharomyces cerevisiae]
OG0000755	2	6183.Smp_023230.1	NC_001146 Integral membrane protein required for the fusion of ER-derived COPII transport vesicles with the Golgi; interacts with Yip1p and Yos1p; localizes to the Golgi_ the ER_ and COPII vesicles [Saccharomyces cerevisiae]
OG0000757	2	6183.Smp_023250.1	NC_001147 Basic zinc-finger protein_ similar to human and mouse Kin17 proteins which are chromatin-associated proteins involved in UV response and DNA replication [Saccharomyces cerevisiae]
OG0000758	2	6183.Smp_023360.1	NC_001148 Cytoplasmic and mitochondrial histidine tRNA synthetase; encoded by a single nuclear gene that specifies two messages; efficient mitochondrial localization requires both a presequence and an amino-terminal sequence [Saccharomyces cerevisiae]
OG0000760	2	6183.Smp_023660.1	NC_001142 Component of the SSU processome and 90S preribosome_ required for pre-18S rRNA processing_ interacts with and controls the stability of Imp3p and Imp4p_ essential for viability; similar to human Mpp10p [Saccharomyces cerevisiae]
OG0000762	2	6183.Smp_024360.1	NC_001148 Constituent of the mitochondrial inner membrane presequence translocase _TIM23 complex_; may promote binding of incoming precursor proteins to the intermembrane space domain of Tom22p during translocation [Saccharomyces cerevisiae]
OG0000763	2	6183.Smp_024850.1	NC_001143 Protein component of the large _60S_ ribosomal subunit_ nearly identical to Rpl17Bp and has similarity to E. coli L22 and rat L17 ribosomal proteins; copurifies with the Dam1 complex _aka DASH complex_ [Saccharomyces cerevisiae]
OG0000765	2	6183.Smp_024880.1	NC_001145 Translation initiation factor eIF1A_ essential protein that forms a complex with Sui1p _eIF1_ and the 40S ribosomal subunit and scans for the start codon; C-terminus associates with Fun12p _eIF5B_; N terminus interacts with eIF2 and eIF3 [Saccharomyces cerevisiae]
OG0000766	2	6183.Smp_024970.1	NC_001136 Component of the CCR4-NOT complex_ which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor [Saccharomyces cerevisiae]
OG0000767	2	6183.Smp_025340.1	NC_001148 Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; required for transcriptional activation and has a role in basal transcription [Saccharomyces cerevisiae]
OG0000768	2	6183.Smp_025800.1	NC_001134 Beta 6 subunit of the 20S proteasome [Saccharomyces cerevisiae]
OG0000771	2	6183.Smp_026560.2	NC_001134 Calmodulin; Ca++ binding protein that regulates Ca++ independent processes _mitosis_ bud growth_ actin organization_ endocytosis_ etc._ and Ca++ dependent processes _stress-activated pathways__ targets include Nuf1p_ Myo2p and calcineurin [Saccharomyces cerevisiae]
OG0000773	2	6183.Smp_026920.1	NC_001139 GTP-cyclohydrolase I_ catalyzes the first step in the folic acid biosynthetic pathway [Saccharomyces cerevisiae]
OG0000774	2	6183.Smp_027080.1	NC_001139 Integral membrane protein required for the biogenesis of ER-derived COPII transport vesicles; interacts with Yif1p and Yos1p; localizes to the Golgi_ the ER_ and COPII vesicles [Saccharomyces cerevisiae]
OG0000775	2	6183.Smp_027210.1	NC_001143 Probable phosphopantothenoylcysteine decarboxylase _PPCDC__ which catalyzes the third step of coenzyme A biosynthesis from pantothenate; null mutant lethality is complemented by E. coli coaBC; interacts with Sis2p and Vhs3p [Saccharomyces cerevisiae]
OG0000777	2	6183.Smp_028080.1	NC_001145 Component of serine palmitoyltransferase_ responsible along with Lcb2p for the first committed step in sphingolipid synthesis_ which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine [Saccharomyces cerevisiae]
OG0000779	2	6183.Smp_028340.1	NC_001143 Essential protein involved in the processing of pre-rRNA and the assembly of the 60S ribosomal subunit; interacts with ribosomal protein L11; localizes predominantly to the nucleolus; constituent of 66S pre-ribosomal particles [Saccharomyces cerevisiae]
OG0000780	2	6183.Smp_028410.1	NC_001146 Putative protein of unknown function; YNL024C-A is an essential gene [Saccharomyces cerevisiae]
OG0000781	2	6183.Smp_028430.1	NC_001136 Catalytic core subunit of the Anaphase-Promoting Complex/Cyclosome _APC/C__ which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors_ including mitotic cyclins_ during the metaphase/anaphase transition [Saccharomyces cerevisiae]
OG0000782	2	6183.Smp_028440.1	NC_001137 S-adenosyl-L-homocysteine hydrolase_ catabolizes S-adenosyl-L-homocysteine which is formed after donation of the activated methyl group of S-adenosyl-L-methionine _AdoMet_ to an acceptor [Saccharomyces cerevisiae]
OG0000785	2	6183.Smp_028990.1	NC_001137 Type 1 serine/threonine protein phosphatase catalytic subunit_ involved in many processes _eg_ glycogen metabolism_ sporulation_ mitosis_; accumulates at mating projections by interaction with Afr1p; interacts with many regulatory subunits [Saccharomyces cerevisiae]
OG0000786	2	6183.Smp_029100.2	NC_001146 Subunit of tRNA methyltransferase _MTase_ complexes in combination with Trm9p and Trm11p; subunit of complex with Mtq2p that methylates Sup45p _eRF1_ in the ternary complex eRF1-eRF3-GTP; deletion confers resistance to zymocin [Saccharomyces cerevisiae]
OG0000792	2	6183.Smp_030690.1	NC_001133 Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex_ which facilitates binding of aminoacyl-tRNA to the ribosomal A site [Saccharomyces cerevisiae]
OG0000793	2	6183.Smp_030760.1	NC_001140 NADP-cytochrome P450 reductase; involved in ergosterol biosynthesis; associated and coordinately regulated with Erg11p [Saccharomyces cerevisiae]
OG0000796	2	6183.Smp_031040.2	NC_001143 tRNA 3'-end processing endonuclease tRNase Z; also localized to mitochondria and interacts genetically with Rex2 exonuclease; homolog of the human candidate prostate cancer susceptibility gene ELAC2 [Saccharomyces cerevisiae]
OG0000797	2	6183.Smp_031310.1	NC_001139 Protein component of the small _40S_ ribosomal subunit; nearly identical to Rps26Bp and has similarity to rat S26 ribosomal protein [Saccharomyces cerevisiae]
OG0000799	2	6183.Smp_031570.1	NC_001147 Protein component of the large _60S_ ribosomal subunit_ identical to Rpl18Bp and has similarity to rat L18 ribosomal protein; intron of RPL18A pre-mRNA forms stem-loop structures that are a target for Rnt1p cleavage leading to degradation [Saccharomyces cerevisiae]
OG0000800	2	6183.Smp_031730.1	NC_001141 18kDa catalytic subunit of the Signal Peptidase Complex _SPC; Spc1p_ Spc2p_ Spc3p_ and Sec11p_ which cleaves the signal sequence of proteins targeted to the endoplasmic reticulum [Saccharomyces cerevisiae]
OG0000801	2	6183.Smp_031860.1	NC_001138 Delta subunit of the coatomer complex _COPI__ which coats Golgi-derived transport vesicles; involved in retrograde transport between Golgi and ER [Saccharomyces cerevisiae]
OG0000805	2	6183.Smp_032260.1	NC_001144 Protein component of the large _60S_ ribosomal subunit_ nearly identical to Rpl15Bp and has similarity to rat L15 ribosomal protein; binds to 5.8 S rRNA [Saccharomyces cerevisiae]
OG0000807	2	6183.Smp_032510.1	NC_001145 Karyopherin/importin that interacts with the nuclear pore complex; acts as the nuclear import receptor for specific proteins_ including Pdr1p_ Yap1p_ Ste12p_ and Aft1p [Saccharomyces cerevisiae]
OG0000808	2	6183.Smp_032580.2	NC_001139 Alpha 5 subunit of the 20S proteasome involved in ubiquitin-dependent catabolism; human homolog is subunit zeta [Saccharomyces cerevisiae]
OG0000812	2	6183.Smp_033140.1	NC_001144 Subunit of the tRNA splicing endonuclease_ which is composed of Sen2p_ Sen15p_ Sen34p_ and Sen54p; Sen2p contains the active site for tRNA 5' splice site cleavage and has similarity to Sen34p and to Archaeal tRNA splicing endonuclease [Saccharomyces cerevisiae]
OG0000815	2	6183.Smp_033590.1	NC_001144 Essential protein_ component of a complex containing Cef1p; has similarity to S. pombe Cwf24p [Saccharomyces cerevisiae]
OG0000818	2	6183.Smp_034100.1	NC_001136 RNA polymerase III subunit C11; mediates pol III RNA cleavage activity and is important for termination of transcription; homologous to TFIIS [Saccharomyces cerevisiae]
OG0000820	2	6183.Smp_034490.1	NC_001142 Beta 1 subunit of the 20S proteasome_ responsible for cleavage after acidic residues in peptides [Saccharomyces cerevisiae]
OG0000821	2	6183.Smp_034670.1	NC_001144 Gamma-tubulin_ involved in nucleating microtubules from both the cytoplasmic and nuclear faces of the spindle pole body [Saccharomyces cerevisiae]
OG0000822	2	6183.Smp_034700.3	NC_001134 Protein anchored to the mitochondrial inner membrane_ similar to Sco1p and may have a redundant function with Sco1p in delivery of copper to cytochrome c oxidase; interacts with Cox2p [Saccharomyces cerevisiae]
OG0000824	2	6183.Smp_035080.1	NC_001145 ER membrane protein involved in the second step of glycosylphosphatidylinositol _GPI_ anchor assembly_ the de-N-acetylation of the N-acetylglucosaminylphosphatidylinositol intermediate; functional homolog of human PIG-Lp [Saccharomyces cerevisiae]
OG0000827	2	6183.Smp_035470.1	NC_001137 Beta subunit of the oligosaccharyl transferase _OST_ glycoprotein complex; required for N-linked glycosylation of proteins in the endoplasmic reticulum [Saccharomyces cerevisiae]
OG0000828	2	6183.Smp_035790.1	NC_001146 Protein component of the large _60S_ ribosomal subunit_ identical to Rpl42Bp and has similarity to rat L44 ribosomal protein [Saccharomyces cerevisiae]
OG0000831	2	6183.Smp_036940.1	NC_001136 Subunit of the Sec61p translocation complex _Sec61p-Sss1p-Sbh1p_ that forms a channel for passage of secretory proteins through the endoplasmic reticulum membrane_ and of the Ssh1p complex _Ssh1p-Sbh2p-Sss1p_; interacts with Ost4p and Wbp1p [Saccharomyces cerevisiae]
OG0000834	2	6183.Smp_037380.1	NC_001148 Essential RNA-binding component of cleavage and polyadenylation factor_ contains five zinc fingers; required for pre-mRNA 3'-end processing and polyadenylation [Saccharomyces cerevisiae]
OG0000835	2	6183.Smp_037640.1	NC_001147 tRNA 2'-phosphotransferase_ catalyzes the final step in yeast tRNA splicing_ the transfer of the 2'-PO_4_ from the splice junction to NAD_+_ to form ADP-ribose 1''-2''cyclic phosphate and nicotinamide [Saccharomyces cerevisiae]
OG0000836	2	6183.Smp_037700.1	NC_001137 Nuclear envelope protein_ interacts with GDP-bound Gsp1p and with proteins of the nuclear pore to transport Gsp1p into the nucleus where it is an essential player in nucleocytoplasmic transport [Saccharomyces cerevisiae]
OG0000837	2	6183.Smp_038030.1	NC_001144 Adenylosuccinate lyase_ catalyzes two steps in the 'de novo' purine nucleotide biosynthetic pathway; expression is repressed by adenine and activated by Bas1p and Pho2p; mutations in human ortholog ADSL cause adenylosuccinase deficiency [Saccharomyces cerevisiae]
OG0000838	2	6183.Smp_038080.1	NC_001144 Karyopherin beta_ forms a complex with Srp1p/Kap60p; mediates nuclear import of cargo proteins via a nuclear localization signal; involved in PC biosynthesis; interacts with nucleoporins to guide transport across the nuclear pore comple [Saccharomyces cerevisiae]
OG0000839	2	6183.Smp_038240.1	NC_001147 Cytoplasmic and mitochondrial alanyl-tRNA synthetase_ required for protein synthesis; point mutation _cdc64-1 allele_ causes cell cycle arrest at G1; lethality of null mutation is functionally complemented by human homolog [Saccharomyces cerevisiae]
OG0000840	2	6183.Smp_038630.1	NC_001136 Component of the mitochondrial Tim54p-Tim22p complex involved in insertion of polytopic proteins into the inner membrane [Saccharomyces cerevisiae]
OG0000841	2	6183.Smp_038680.1	NC_001138 Core Sm protein Sm G; part of heteroheptameric complex _with Smb1p_ Smd1p_ Smd2p_ Smd3p_ Sme1p_ and Smx3p_ that is part of the spliceosomal U1_ U2_ U4_ and U5 snRNPs; homolog of human Sm G [Saccharomyces cerevisiae]
OG0000843	2	6183.Smp_038820.1	NC_001148 Protein of unknown function that plays a pro-death role in response to oxidative stress; highly conserved across species and similar to human protein NDOR1; allele is synthetically lethal with the pol3-13 allele of DNA polymerase delta [Saccharomyces cerevisiae]
OG0000844	2	6183.Smp_038930.1	NC_001136 Protein required for processing of 20S pre-rRNA in the cytoplasm_ associates with pre-40S ribosomal particles [Saccharomyces cerevisiae]
OG0000845	2	6183.Smp_038940.1	NC_001134 Methyltransferase_ catalyzes the transfer of a methyl group from S-adenosylmethionine to the GpppN terminus of capped mRNA [Saccharomyces cerevisiae]
OG0000849	2	6183.Smp_039400.1	NC_001137 Translation initiation factor eIF-5A_ promotes formation of the first peptide bond; similar to and functionally redundant with Anb1p; possible role in translation elongation; undergoes an essential hypusination modification [Saccharomyces cerevisiae]
OG0000850	2	6183.Smp_039640.2	NC_001143 Essential conserved subunit of CPF _cleavage and polyadenylation factor__ plays a role in 3' end formation of mRNA via the specific cleavage and polyadenylation of pre-mRNA_ contains a putative RNA-binding zinc knuckle motif [Saccharomyces cerevisiae]
OG0000857	2	6183.Smp_040450.1	NC_001147 Constituent of 66S pre-ribosomal particles_ required for maturation of the large ribosomal subunit [Saccharomyces cerevisiae]
OG0000860	2	6183.Smp_040710.1	NC_001147 RNA polymerase II subunit B12.5; part of central core; similar to Rpc19p and bacterial alpha subunit [Saccharomyces cerevisiae]
OG0000861	2	6183.Smp_040800.1	NC_001134 Cytoplasmic and mitochondrial glycyl-tRNA synthase that ligates glycine to the cognate anticodon bearing tRNA; transcription termination factor that may interact with the 3'-end of pre-mRNA to promote 3'-end formation [Saccharomyces cerevisiae]
OG0000862	2	6183.Smp_041450.1	NC_001140 Cytosolic asparaginyl-tRNA synthetase_ required for protein synthesis_ catalyzes the specific attachment of asparagine to its cognate tRNA [Saccharomyces cerevisiae]
OG0000863	2	6183.Smp_041600.1	NC_001134 Cytoplasmic isoleucine-tRNA synthetase_ target of the G1-specific inhibitor reveromycin A [Saccharomyces cerevisiae]
OG0000864	2	6183.Smp_041740.1	NC_001142 Subunit of the cytosolic chaperonin Cct ring complex_ related to Tcp1p_ required for the assembly of actin and tubulins in vivo [Saccharomyces cerevisiae]
OG0000866	2	6183.Smp_042210.1	NC_001148 Subunit of the origin recognition complex_ which directs DNA replication by binding to replication origins and is also involved in transcriptional silencing [Saccharomyces cerevisiae]
OG0000867	2	6183.Smp_042270.2	NC_001147 One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; recruited to the GAL1-10 promoter region upon induction of transcription [Saccharomyces cerevisiae]
OG0000870	2	6183.Smp_042430.2	NC_001136 Subunit of the GINS complex _Sld5p_ Psf1p_ Psf2p_ Psf3p__ which is localized to DNA replication origins and implicated in assembly of the DNA replication machinery [Saccharomyces cerevisiae]
OG0000873	2	6183.Smp_042790.1	NC_001148 Dolichol phosphate mannose _Dol-P-Man_ synthase of the ER membrane_ catalyzes the formation of Dol-P-Man from Dol-P and GDP-Man; required for glycosyl phosphatidylinositol membrane anchoring_ O mannosylation_ and protein glycosylation [Saccharomyces cerevisiae]
OG0000874	2	6183.Smp_042980.1	NC_001145 Mevalonate kinase_ acts in the biosynthesis of isoprenoids and sterols_ including ergosterol_ from mevalonate [Saccharomyces cerevisiae]
OG0000876	2	6183.Smp_043200.1	NC_001146 Essential serine kinase involved in the processing of the 20S pre-rRNA into mature 18S rRNA; has similarity to Rio1p [Saccharomyces cerevisiae]
OG0000877	2	6183.Smp_043350.1	NC_001136 UDP-N-acetylglucosamine pyrophosphorylase_ catalyzes the formation of UDP-N-acetylglucosamine _UDP-GlcNAc__ which is important in cell wall biosynthesis_ protein N-glycosylation_ and GPI anchor biosynthesis [Saccharomyces cerevisiae]
OG0000882	2	6183.Smp_044280.1	NC_001136 Nucleolar protein_ component of the small subunit processome complex_ which is required for processing of pre-18S rRNA; has similarity to mammalian fibrillarin [Saccharomyces cerevisiae]
OG0000884	2	6183.Smp_044580.1	NC_001139 Protein component of the large _60S_ ribosomal subunit_ has similarity to rat L30 ribosomal protein; involved in pre-rRNA processing in the nucleolus; autoregulates splicing of its transcript [Saccharomyces cerevisiae]
OG0000887	2	6183.Smp_045040.1	NC_001135 AdoMet-dependent methyltransferase involved in rRNA processing and 60S ribosomal subunit maturation; methylates G2922 in the tRNA docking site of the large subunit rRNA and in the absence of snR52_ U2921; suppressor of PAB1 mutants [Saccharomyces cerevisiae]
OG0000889	2	6183.Smp_045260.1	NC_001136 5-aminolevulinate synthase_ catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p [Saccharomyces cerevisiae]
OG0000891	2	6183.Smp_045430.3	NC_001134 Component of UDP-GlcNAc transferase required for the second step of dolichyl-linked oligosaccharide synthesis; anchors the catalytic subunit Alg13p to the ER membrane; similar to bacterial and human glycosyltransferases [Saccharomyces cerevisiae]
OG0000893	2	6183.Smp_045510.1	NC_001136 Ubiquitin-like protein of the SUMO family_ conjugated to lysine residues of target proteins; regulates chromatid cohesion_ chromosome segregation_ APC-mediated proteolysis_ DNA replication and septin ring dynamics; phosphorylated at Ser2 [Saccharomyces cerevisiae]
OG0000895	2	6183.Smp_045750.1	NC_001136 Subunit of TFIIH and nucleotide excision repair factor 3 complexes_ involved in transcription initiation_ required for nucleotide excision repair; ring finger protein similar to mammalian CAK and TFIIH subunit [Saccharomyces cerevisiae]
OG0000896	2	6183.Smp_045760.1	NC_001140 tRNA_m_1_G37_methyltransferase_ methylates a tRNA base adjacent to the anticodon that has a role in prevention of frameshifting; highly conserved across Archaea_ Bacteria_ and Eukarya [Saccharomyces cerevisiae]
OG0000897	2	6183.Smp_045810.1	NC_001139 Aminolevulinate dehydratase_ a homo-octameric enzyme_ catalyzes the conversion of 5-aminolevulinate to porphobilinogen_ the second step in heme biosynthesis; enzymatic activity is zinc-dependent; localizes to the cytoplasm and nucleus [Saccharomyces cerevisiae]
OG0000899	2	6183.Smp_046020.1	NC_001143 Conserved nuclear regulatory subunit of Glc7p type 1 protein serine-threonine phosphatase _PP1__ functions positively with Glc7p to promote dephosphorylation of nuclear substrates required for chromosome transmission during mitosis [Saccharomyces cerevisiae]
OG0000900	2	6183.Smp_046090.2	NC_001142 Subunit of the cytosolic chaperonin Cct ring complex_ related to Tcp1p_ required for the assembly of actin and tubulins in vivo [Saccharomyces cerevisiae]
OG0000901	2	6183.Smp_046500.2	NC_001134 Proliferating cell nuclear antigen _PCNA__ functions as the sliding clamp for DNA polymerase delta; may function as a docking site for other proteins required for mitotic and meiotic chromosomal DNA replication and for DNA repair [Saccharomyces cerevisiae]
OG0000902	2	6183.Smp_046550.1	NC_001134 Protein associated with U3 and U14 snoRNAs_ required for pre-rRNA processing and 40S ribosomal subunit synthesis; localized in the nucleus and concentrated in the nucleolus [Saccharomyces cerevisiae]
OG0000903	2	6183.Smp_046680.1	NC_001142 Possible U3 snoRNP protein involved in maturation of pre-18S rRNA_ based on computational analysis of large-scale protein-protein interaction data [Saccharomyces cerevisiae]
OG0000907	2	6183.Smp_046880.2	NC_001148 UDP-GlcNAc-binding and catalytic subunit of the enzyme that mediates the first step in glycosylphosphatidylinositol _GPI_ biosynthesis_ mutations cause defects in transcription and in biogenesis of cell wall proteins [Saccharomyces cerevisiae]
OG0000909	2	6183.Smp_047200.1	NC_001147 Protein component of the large _60S_ ribosomal subunit_ has similarity to E. coli L3 and rat L3 ribosomal proteins; involved in the replication and maintenance of killer double stranded RNA virus [Saccharomyces cerevisiae]
OG0000911	2	6183.Smp_047450.1	NC_001143 Vesicle membrane protein _v-SNARE_ with acyltransferase activity; involved in trafficking to and within the Golgi_ endocytic trafficking to the vacuole_ and vacuolar fusion; membrane localization due to prenylation at the carboxy-terminus [Saccharomyces cerevisiae]
OG0000913	2	6183.Smp_047610.1	NC_001144 DNA replication initiation factor; recruited to MCM pre-RC complexes at replication origins; promotes release of MCM from Mcm10p_ recruits elongation machinery; mutants in human homolog may cause velocardiofacial and DiGeorge syndromes [Saccharomyces cerevisiae]
OG0000914	2	6183.Smp_047740.1	NC_001138 Subunit of the 19S regulatory particle of the 26S proteasome lid; synthetically lethal with RPT1_ which is an ATPase component of the 19S regulatory particle; physically interacts with Nob1p and Rpn3p [Saccharomyces cerevisiae]
OG0000917	2	6183.Smp_048520.1	NC_001134 Cis-prenyltransferase involved in dolichol synthesis; participates in endoplasmic reticulum _ER_ protein sorting [Saccharomyces cerevisiae]
OG0000918	2	6183.Smp_048540.1	NC_001145 Dolichol kinase_ catalyzes the terminal step in dolichyl monophosphate _Dol-P_ biosynthesis; required for viability and for normal rates of lipid intermediate synthesis and protein N-glycosylation [Saccharomyces cerevisiae]
OG0000919	2	6183.Smp_048620.1	NC_001136 Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp45p _PM/SCL-75_ EXOSC9_ [Saccharomyces cerevisiae]
OG0000920	2	6183.Smp_048760.1	NC_001148 Nuclear protein that acts as a heterodimer with Uba2p to activate Smt3p _SUMO_ before its conjugation to proteins _sumoylation__ which may play a role in protein targeting; essential for viability [Saccharomyces cerevisiae]
